variable,measure,case_def,group,seasonality,month,value,lower,upper
All clinical,cdf,primary,control,seasonal,12.0,116,,
All clinical,cdf,primary,R21,seasonal,12.0,30,,
All clinical,cdf,primary,control,perennial,12.0,45.0,,
All clinical,cdf,primary,R21,perennial,12.0,15.0,,
All clinical,cdf,primary,control,seasonal,18.0,202,,
All clinical,cdf,primary,R21,seasonal,18.0,58.5,,
First clinical,efficacy,primary,R21,seasonal,12.0,0.75,0.72,0.79
First clinical,efficacy,primary,R21,perennial,12.0,0.68,0.61,0.74
All clinical,efficacy,primary,R21,perennial,12.0,0.67,0.59,0.73
All clinical,efficacy,primary,R21,seasonal,12.0,0.75,0.71,0.78
All clinical,efficacy,primary,R21,seasonal,18.0,0.72,0.68,0.75
First clinical,cdf,primary,R21,perennial,12.0,11.0,,
First clinical,cdf,secondary,R21,perennial,12.0,12.0,,
First clinical,cdf,primary,control,perennial,0.01,0.8,,
First clinical,cdf,primary,control,perennial,0.34,1.8,,
First clinical,cdf,primary,control,perennial,0.68,2.8,,
First clinical,cdf,primary,control,perennial,1.01,4.0,,
First clinical,cdf,primary,control,perennial,1.33,4.6,,
First clinical,cdf,primary,control,perennial,1.67,5.5,,
First clinical,cdf,primary,control,perennial,1.98,5.6,,
First clinical,cdf,primary,control,perennial,2.32,6.0,,
First clinical,cdf,primary,control,perennial,2.66,6.6,,
First clinical,cdf,primary,control,perennial,2.97,6.6,,
First clinical,cdf,primary,control,perennial,3.31,7.0,,
First clinical,cdf,primary,control,perennial,3.65,7.0,,
First clinical,cdf,primary,control,perennial,3.96,7.2,,
First clinical,cdf,primary,control,perennial,4.3,7.8,,
First clinical,cdf,primary,control,perennial,4.64,8.0,,
First clinical,cdf,primary,control,perennial,4.95,8.2,,
First clinical,cdf,primary,control,perennial,5.29,8.6,,
First clinical,cdf,primary,control,perennial,5.62,9.2,,
First clinical,cdf,primary,control,perennial,5.94,9.6,,
First clinical,cdf,primary,control,perennial,6.28,10.6,,
First clinical,cdf,primary,control,perennial,6.61,11.6,,
First clinical,cdf,primary,control,perennial,6.93,12.4,,
First clinical,cdf,primary,control,perennial,7.27,13.3,,
First clinical,cdf,primary,control,perennial,7.6,14.3,,
First clinical,cdf,primary,control,perennial,7.92,15.7,,
First clinical,cdf,primary,control,perennial,8.25,17.9,,
First clinical,cdf,primary,control,perennial,8.59,19.5,,
First clinical,cdf,primary,control,perennial,8.91,20.3,,
First clinical,cdf,primary,control,perennial,9.24,21.7,,
First clinical,cdf,primary,control,perennial,9.58,22.8,,
First clinical,cdf,primary,control,perennial,9.9,23.4,,
First clinical,cdf,primary,control,perennial,10.23,24.6,,
First clinical,cdf,primary,control,perennial,10.57,25.4,,
First clinical,cdf,primary,control,perennial,10.88,26.6,,
First clinical,cdf,primary,control,perennial,11.22,27.8,,
First clinical,cdf,primary,control,perennial,11.52,29.0,,
First clinical,cdf,primary,control,perennial,12.0,29.0,,
First clinical,cdf,secondary,control,perennial,12.0,32.0,,
First clinical,cdf,primary,r21,perennial,0.01,-0.0,,
First clinical,cdf,primary,r21,perennial,0.34,0.2,,
First clinical,cdf,primary,r21,perennial,0.68,0.4,,
First clinical,cdf,primary,r21,perennial,0.99,0.6,,
First clinical,cdf,primary,r21,perennial,1.33,1.0,,
First clinical,cdf,primary,r21,perennial,1.67,1.2,,
First clinical,cdf,primary,r21,perennial,1.98,1.2,,
First clinical,cdf,primary,r21,perennial,2.32,1.2,,
First clinical,cdf,primary,r21,perennial,2.66,1.4,,
First clinical,cdf,primary,r21,perennial,2.97,1.6,,
First clinical,cdf,primary,r21,perennial,3.31,1.6,,
First clinical,cdf,primary,r21,perennial,3.65,1.5,,
First clinical,cdf,primary,r21,perennial,3.96,1.7,,
First clinical,cdf,primary,r21,perennial,4.3,1.9,,
First clinical,cdf,primary,r21,perennial,4.64,1.9,,
First clinical,cdf,primary,r21,perennial,4.95,2.1,,
First clinical,cdf,primary,r21,perennial,5.29,2.1,,
First clinical,cdf,primary,r21,perennial,5.63,2.5,,
First clinical,cdf,primary,r21,perennial,5.94,2.7,,
First clinical,cdf,primary,r21,perennial,6.28,2.9,,
First clinical,cdf,primary,r21,perennial,6.62,3.1,,
First clinical,cdf,primary,r21,perennial,6.93,3.3,,
First clinical,cdf,primary,r21,perennial,7.27,3.7,,
First clinical,cdf,primary,r21,perennial,7.61,4.7,,
First clinical,cdf,primary,r21,perennial,7.92,5.3,,
First clinical,cdf,primary,r21,perennial,8.26,5.7,,
First clinical,cdf,primary,r21,perennial,8.59,6.3,,
First clinical,cdf,primary,r21,perennial,8.91,6.5,,
First clinical,cdf,primary,r21,perennial,9.25,6.9,,
First clinical,cdf,primary,r21,perennial,9.58,7.5,,
First clinical,cdf,primary,r21,perennial,9.9,8.1,,
First clinical,cdf,primary,r21,perennial,10.24,8.7,,
First clinical,cdf,primary,r21,perennial,10.57,9.1,,
First clinical,cdf,primary,r21,perennial,10.89,9.5,,
First clinical,cdf,primary,r21,perennial,11.23,9.9,,
First clinical,cdf,primary,r21,perennial,11.56,10.5,,
First clinical,cdf,primary,R21,seasonal,12.0,19.0,,
First clinical,cdf,secondary,R21,seasonal,12.0,23.0,,
First clinical,cdf,primary,R21,seasonal,18.0,33.0,,
First clinical,cdf,primary,control,seasonal,-0.05,0.4,,
First clinical,cdf,primary,control,seasonal,0.29,4.0,,
First clinical,cdf,primary,control,seasonal,0.62,9.5,,
First clinical,cdf,primary,control,seasonal,0.94,13.8,,
First clinical,cdf,primary,control,seasonal,1.28,18.3,,
First clinical,cdf,primary,control,seasonal,1.62,22.2,,
First clinical,cdf,primary,control,seasonal,1.93,27.5,,
First clinical,cdf,primary,control,seasonal,2.27,32.0,,
First clinical,cdf,primary,control,seasonal,2.59,34.9,,
First clinical,cdf,primary,control,seasonal,2.93,38.8,,
First clinical,cdf,primary,control,seasonal,3.26,40.6,,
First clinical,cdf,primary,control,seasonal,3.58,43.1,,
First clinical,cdf,primary,control,seasonal,3.92,44.5,,
First clinical,cdf,primary,control,seasonal,4.24,45.9,,
First clinical,cdf,primary,control,seasonal,4.57,46.5,,
First clinical,cdf,primary,control,seasonal,4.91,47.8,,
First clinical,cdf,primary,control,seasonal,5.23,48.6,,
First clinical,cdf,primary,control,seasonal,5.57,49.0,,
First clinical,cdf,primary,control,seasonal,5.88,49.0,,
First clinical,cdf,primary,control,seasonal,6.22,49.4,,
First clinical,cdf,primary,control,seasonal,6.56,49.6,,
First clinical,cdf,primary,control,seasonal,6.88,49.8,,
First clinical,cdf,primary,control,seasonal,7.21,50.0,,
First clinical,cdf,primary,control,seasonal,7.53,50.4,,
First clinical,cdf,primary,control,seasonal,7.87,50.4,,
First clinical,cdf,primary,control,seasonal,8.21,50.5,,
First clinical,cdf,primary,control,seasonal,8.52,50.5,,
First clinical,cdf,primary,control,seasonal,8.86,50.5,,
First clinical,cdf,primary,control,seasonal,9.18,50.5,,
First clinical,cdf,primary,control,seasonal,9.52,50.5,,
First clinical,cdf,primary,control,seasonal,9.85,50.5,,
First clinical,cdf,primary,control,seasonal,10.17,50.5,,
First clinical,cdf,primary,control,seasonal,10.51,50.9,,
First clinical,cdf,primary,control,seasonal,10.85,51.1,,
First clinical,cdf,primary,control,seasonal,11.16,52.1,,
First clinical,cdf,primary,control,seasonal,11.5,52.3,,
First clinical,cdf,primary,control,seasonal,12.0,52.0,,
First clinical,cdf,secondary,control,seasonal,12.0,57.0,,
First clinical,cdf,primary,control,seasonal,18.0,70.0,,
First clinical,cdf,primary,r21,seasonal,-0.03,-0.1,,
First clinical,cdf,primary,r21,seasonal,0.31,1.4,,
First clinical,cdf,primary,r21,seasonal,0.64,1.8,,
First clinical,cdf,primary,r21,seasonal,0.96,2.2,,
First clinical,cdf,primary,r21,seasonal,1.3,2.8,,
First clinical,cdf,primary,r21,seasonal,1.64,4.5,,
First clinical,cdf,primary,r21,seasonal,1.95,6.1,,
First clinical,cdf,primary,r21,seasonal,2.29,7.7,,
First clinical,cdf,primary,r21,seasonal,2.61,9.0,,
First clinical,cdf,primary,r21,seasonal,2.95,9.6,,
First clinical,cdf,primary,r21,seasonal,3.28,10.4,,
First clinical,cdf,primary,r21,seasonal,3.6,11.0,,
First clinical,cdf,primary,r21,seasonal,3.94,11.6,,
First clinical,cdf,primary,r21,seasonal,4.26,12.2,,
First clinical,cdf,primary,r21,seasonal,4.59,12.9,,
First clinical,cdf,primary,r21,seasonal,4.93,13.3,,
First clinical,cdf,primary,r21,seasonal,5.25,13.9,,
First clinical,cdf,primary,r21,seasonal,5.59,14.3,,
First clinical,cdf,primary,r21,seasonal,5.9,14.9,,
First clinical,cdf,primary,r21,seasonal,6.24,15.5,,
First clinical,cdf,primary,r21,seasonal,6.58,15.9,,
First clinical,cdf,primary,r21,seasonal,6.9,16.4,,
First clinical,cdf,primary,r21,seasonal,7.24,16.8,,
First clinical,cdf,primary,r21,seasonal,7.55,17.0,,
First clinical,cdf,primary,r21,seasonal,7.89,17.2,,
First clinical,cdf,primary,r21,seasonal,8.23,17.2,,
First clinical,cdf,primary,r21,seasonal,8.54,17.2,,
First clinical,cdf,primary,r21,seasonal,8.88,17.2,,
First clinical,cdf,primary,r21,seasonal,9.2,17.2,,
First clinical,cdf,primary,r21,seasonal,9.54,17.2,,
First clinical,cdf,primary,r21,seasonal,9.88,17.2,,
First clinical,cdf,primary,r21,seasonal,10.19,17.2,,
First clinical,cdf,primary,r21,seasonal,10.53,17.4,,
First clinical,cdf,primary,r21,seasonal,10.87,17.8,,
First clinical,cdf,primary,r21,seasonal,11.19,18.4,,
First clinical,cdf,primary,r21,seasonal,11.52,19.7,,
Severe malaria,cdf,primary,R21,perennial,12.0,0.26,,
Severe malaria,cdf,primary,control,perennial,12.0,0.39,,
Severe malaria,cdf,primary,R21,seasonal,12.0,0.06,,
Severe malaria,cdf,primary,R21,seasonal,18.0,0.33,,
Severe malaria,cdf,primary,control,seasonal,12.0,0.51,,
Severe malaria,cdf,primary,control,seasonal,18.0,0.94,,
Severe malaria,efficacy,primary,R21,perennial,12.0,0.4,-1.69,0.87
Severe malaria,efficacy,primary,R21,seasonal,12.0,0.88,-0.05,0.99
Severe malaria,efficacy,primary,R21,seasonal,18.0,0.65,-0.1,0.89
efficacy,,,,perennial,2.0,0.79,0.64,0.87
efficacy,,,,perennial,5.0,0.68,0.44,0.82
efficacy,,,,perennial,8.0,0.64,0.51,0.74
efficacy,,,,perennial,11.0,0.63,0.5,0.73
efficacy,,,,seasonal,2.0,0.8,0.76,0.84
efficacy,,,,seasonal,5.0,0.74,0.67,0.8
efficacy,,,,seasonal,8.0,0.45,0.21,0.61
efficacy,,,,seasonal,11.0,0.67,0.55,0.76
