t,arm,count
0,delayed,0.0
1,delayed,0.0
2,delayed,0.0
3,delayed,0.0
4,delayed,0.0
5,delayed,0.0
6,delayed,0.0
7,delayed,0.0
8,delayed,0.0
9,delayed,0.0
10,delayed,0.0
11,delayed,0.0
12,delayed,0.0
13,delayed,1.0
14,delayed,1.0
15,delayed,1.0
16,delayed,1.0
17,delayed,1.0
18,delayed,1.0
19,delayed,1.0
20,delayed,1.0
21,delayed,1.0
22,delayed,1.0
23,delayed,3.0
24,delayed,4.0
25,delayed,5.0
26,delayed,5.0
27,delayed,5.0
28,delayed,5.0
29,delayed,5.0
30,delayed,5.0
31,delayed,5.0
32,delayed,5.0
33,delayed,5.0
34,delayed,5.0
35,delayed,5.0
36,delayed,5.0
37,delayed,5.0
38,delayed,8.0
39,delayed,10.0
40,delayed,10.0
41,delayed,11.0
42,delayed,11.0
43,delayed,11.0
44,delayed,11.0
45,delayed,11.0
46,delayed,11.0
47,delayed,11.0
48,delayed,12.0
49,delayed,13.0
50,delayed,16.0
51,delayed,16.0
52,delayed,17.0
53,delayed,18.0
54,delayed,18.0
55,delayed,18.0
56,delayed,18.0
57,delayed,19.0
58,delayed,20.0
59,delayed,20.0
60,delayed,20.0
61,delayed,20.0
62,delayed,20.0
63,delayed,20.0
64,delayed,20.0
65,delayed,20.0
66,delayed,20.0
67,delayed,20.0
68,delayed,20.0
69,delayed,21.0
70,delayed,21.0
71,delayed,21.0
72,delayed,21.0
73,delayed,21.0
74,delayed,21.0
75,delayed,21.0
76,delayed,21.0
77,delayed,21.0
78,delayed,21.0
79,delayed,21.0
80,delayed,21.0
81,delayed,21.0
82,delayed,21.0
83,delayed,21.0
84,delayed,21.0
85,delayed,21.0
86,delayed,21.0
87,delayed,21.0
88,delayed,21.0
89,delayed,21.0
90,delayed,21.0
91,delayed,21.0
92,delayed,22.0
93,delayed,23.0
94,delayed,23.0
95,delayed,23.0
96,delayed,24.0
97,delayed,24.0
98,delayed,25.0
99,delayed,25.0
100,delayed,25.0
101,delayed,25.0
102,delayed,25.0
103,delayed,25.0
104,delayed,25.0
105,delayed,25.0
106,delayed,25.0
107,delayed,25.0
108,delayed,25.0
109,delayed,25.0
110,delayed,25.0
111,delayed,25.0
112,delayed,25.0
113,delayed,25.0
114,delayed,25.0
115,delayed,25.0
116,delayed,25.0
117,delayed,25.0
118,delayed,25.0
119,delayed,25.0
120,delayed,25.0
121,delayed,25.0
122,delayed,25.0
123,delayed,25.0
124,delayed,25.0
125,delayed,25.0
126,delayed,25.0
127,delayed,25.0
128,delayed,25.0
129,delayed,25.0
130,delayed,25.0
131,delayed,25.0
132,delayed,25.0
133,delayed,25.0
134,delayed,25.0
135,delayed,25.0
136,delayed,25.0
137,delayed,25.0
138,delayed,25.0
139,delayed,25.0
140,delayed,25.0
141,delayed,25.0
142,delayed,25.0
143,delayed,25.0
144,delayed,25.0
145,delayed,25.0
146,delayed,25.0
147,delayed,25.0
148,delayed,25.0
149,delayed,25.0
150,delayed,25.0
151,delayed,25.0
152,delayed,25.0
153,delayed,26.0
154,delayed,26.0
155,delayed,26.0
156,delayed,26.0
157,delayed,26.0
158,delayed,26.0
159,delayed,26.0
160,delayed,26.0
161,delayed,26.0
162,delayed,26.0
163,delayed,26.0
164,delayed,26.0
165,delayed,26.0
166,delayed,26.0
167,delayed,26.0
168,delayed,26.0
169,delayed,26.0
170,delayed,26.0
171,delayed,26.0
172,delayed,26.0
173,delayed,26.0
174,delayed,26.0
175,delayed,26.0
176,delayed,26.0
177,delayed,26.0
178,delayed,27.0
0,monthly,0.0
1,monthly,0.0
2,monthly,0.0
3,monthly,0.0
4,monthly,0.0
5,monthly,0.0
6,monthly,0.0
7,monthly,0.0
8,monthly,0.0
9,monthly,0.0
10,monthly,1.0
11,monthly,1.0
12,monthly,2.0
13,monthly,3.0
14,monthly,3.0
15,monthly,5.0
16,monthly,5.0
17,monthly,6.0
18,monthly,6.0
19,monthly,9.0
20,monthly,9.0
21,monthly,9.0
22,monthly,10.0
23,monthly,11.0
24,monthly,12.0
25,monthly,13.0
26,monthly,13.0
27,monthly,14.0
28,monthly,15.0
29,monthly,15.0
30,monthly,17.0
31,monthly,17.0
32,monthly,17.0
33,monthly,17.0
34,monthly,18.0
35,monthly,18.0
36,monthly,18.0
37,monthly,18.0
38,monthly,18.0
39,monthly,18.0
40,monthly,20.0
41,monthly,20.0
42,monthly,22.0
43,monthly,22.0
44,monthly,22.0
45,monthly,24.0
46,monthly,24.0
47,monthly,24.0
48,monthly,25.0
49,monthly,25.0
50,monthly,25.0
51,monthly,25.0
52,monthly,25.0
53,monthly,25.0
54,monthly,25.0
55,monthly,25.0
56,monthly,25.0
57,monthly,25.0
58,monthly,25.0
59,monthly,26.0
60,monthly,26.0
61,monthly,26.0
62,monthly,26.0
63,monthly,27.0
64,monthly,27.0
65,monthly,27.0
66,monthly,27.0
67,monthly,28.0
68,monthly,28.0
69,monthly,28.0
70,monthly,28.0
71,monthly,28.0
72,monthly,28.0
73,monthly,28.0
74,monthly,28.0
75,monthly,28.0
76,monthly,28.0
77,monthly,28.0
78,monthly,28.0
79,monthly,29.0
80,monthly,29.0
81,monthly,29.0
82,monthly,29.0
83,monthly,29.0
84,monthly,29.0
85,monthly,29.0
86,monthly,29.0
87,monthly,29.0
88,monthly,29.0
89,monthly,29.0
90,monthly,29.0
91,monthly,29.0
92,monthly,29.0
93,monthly,29.0
94,monthly,29.0
95,monthly,30.0
96,monthly,30.0
97,monthly,30.0
98,monthly,30.0
99,monthly,30.0
100,monthly,30.0
101,monthly,31.0
102,monthly,31.0
103,monthly,31.0
104,monthly,31.0
105,monthly,31.0
106,monthly,32.0
107,monthly,32.0
108,monthly,33.0
109,monthly,33.0
110,monthly,33.0
111,monthly,33.0
112,monthly,33.0
113,monthly,33.0
114,monthly,33.0
115,monthly,33.0
116,monthly,33.0
117,monthly,33.0
118,monthly,33.0
119,monthly,34.0
120,monthly,35.0
121,monthly,35.0
122,monthly,35.0
123,monthly,35.0
124,monthly,35.0
125,monthly,35.0
126,monthly,35.0
127,monthly,35.0
128,monthly,35.0
129,monthly,35.0
130,monthly,35.0
131,monthly,35.0
132,monthly,35.0
133,monthly,35.0
134,monthly,35.0
135,monthly,35.0
136,monthly,35.0
137,monthly,35.0
138,monthly,35.0
139,monthly,35.0
140,monthly,35.0
141,monthly,35.0
142,monthly,35.0
143,monthly,35.0
144,monthly,35.0
145,monthly,35.0
146,monthly,35.0
147,monthly,35.0
148,monthly,35.0
149,monthly,35.0
150,monthly,35.0
151,monthly,35.0
152,monthly,41.0
153,monthly,42.0
154,monthly,42.0
155,monthly,42.0
156,monthly,42.0
157,monthly,42.0
158,monthly,42.0
159,monthly,42.0
160,monthly,42.0
161,monthly,42.0
162,monthly,42.0
163,monthly,42.0
164,monthly,42.0
165,monthly,42.0
166,monthly,42.0
167,monthly,42.0
168,monthly,42.0
169,monthly,42.0
170,monthly,42.0
171,monthly,42.0
172,monthly,42.0
173,monthly,42.0
174,monthly,42.0
175,monthly,42.0
176,monthly,42.0
177,monthly,42.0
178,monthly,42.0
0,rabies,0.0
1,rabies,1.0
2,rabies,2.0
3,rabies,2.0
4,rabies,2.0
5,rabies,3.0
6,rabies,3.0
7,rabies,4.0
8,rabies,4.0
9,rabies,4.0
10,rabies,6.0
11,rabies,7.0
12,rabies,9.0
13,rabies,9.0
14,rabies,11.0
15,rabies,12.0
16,rabies,14.0
17,rabies,17.0
18,rabies,19.0
19,rabies,19.0
20,rabies,19.0
21,rabies,19.0
22,rabies,20.0
23,rabies,21.0
24,rabies,22.0
25,rabies,23.0
26,rabies,23.0
27,rabies,23.0
28,rabies,23.0
29,rabies,24.0
30,rabies,24.0
31,rabies,25.0
32,rabies,25.0
33,rabies,25.0
34,rabies,25.0
35,rabies,25.0
36,rabies,25.0
37,rabies,25.0
38,rabies,25.0
39,rabies,26.0
40,rabies,26.0
41,rabies,26.0
42,rabies,28.0
43,rabies,28.0
44,rabies,28.0
45,rabies,29.0
46,rabies,29.0
47,rabies,29.0
48,rabies,30.0
49,rabies,31.0
50,rabies,32.0
51,rabies,32.0
52,rabies,32.0
53,rabies,32.0
54,rabies,32.0
55,rabies,32.0
56,rabies,32.0
57,rabies,33.0
58,rabies,33.0
59,rabies,34.0
60,rabies,34.0
61,rabies,34.0
62,rabies,34.0
63,rabies,35.0
64,rabies,35.0
65,rabies,35.0
66,rabies,35.0
67,rabies,37.0
68,rabies,37.0
69,rabies,37.0
70,rabies,38.0
71,rabies,39.0
72,rabies,39.0
73,rabies,39.0
74,rabies,40.0
75,rabies,40.0
76,rabies,40.0
77,rabies,40.0
78,rabies,40.0
79,rabies,40.0
80,rabies,40.0
81,rabies,41.0
82,rabies,41.0
83,rabies,41.0
84,rabies,41.0
85,rabies,42.0
86,rabies,43.0
87,rabies,43.0
88,rabies,43.0
89,rabies,43.0
90,rabies,43.0
91,rabies,43.0
92,rabies,43.0
93,rabies,43.0
94,rabies,43.0
95,rabies,43.0
96,rabies,43.0
97,rabies,43.0
98,rabies,44.0
99,rabies,44.0
100,rabies,44.0
101,rabies,44.0
102,rabies,44.0
103,rabies,44.0
104,rabies,44.0
105,rabies,44.0
106,rabies,44.0
107,rabies,44.0
108,rabies,44.0
109,rabies,44.0
110,rabies,44.0
111,rabies,44.0
112,rabies,44.0
113,rabies,44.0
114,rabies,44.0
115,rabies,45.0
116,rabies,45.0
117,rabies,45.0
118,rabies,45.0
119,rabies,45.0
120,rabies,45.0
121,rabies,45.0
122,rabies,45.0
123,rabies,45.0
124,rabies,45.0
125,rabies,45.0
126,rabies,47.0
127,rabies,47.0
128,rabies,47.0
129,rabies,47.0
130,rabies,47.0
131,rabies,47.0
132,rabies,47.0
133,rabies,47.0
134,rabies,47.0
135,rabies,47.0
136,rabies,47.0
137,rabies,47.0
138,rabies,47.0
139,rabies,47.0
140,rabies,47.0
141,rabies,47.0
142,rabies,47.0
143,rabies,47.0
144,rabies,47.0
145,rabies,47.0
146,rabies,47.0
147,rabies,47.0
148,rabies,47.0
149,rabies,47.0
150,rabies,47.0
151,rabies,47.0
152,rabies,47.0
153,rabies,47.0
154,rabies,47.0
155,rabies,47.0
156,rabies,47.0
157,rabies,47.0
158,rabies,47.0
159,rabies,47.0
160,rabies,47.0
161,rabies,47.0
162,rabies,47.0
163,rabies,47.0
164,rabies,47.0
165,rabies,47.0
166,rabies,47.0
167,rabies,47.0
168,rabies,47.0
169,rabies,47.0
170,rabies,47.0
171,rabies,47.0
172,rabies,47.0
173,rabies,47.0
174,rabies,47.0
175,rabies,47.0
176,rabies,47.0
177,rabies,47.0
178,rabies,47.0
