year,pfpr,clinical_rate
1990,0.9055160000000001,4.109
1991,0.788099,4.6865
1992,0.7849944999999999,6.0036
1993,0.6158595,4.1771
1994,0.6402464999999999,4.6416
1995,0.640954,5.4252
1996,0.6974575000000001,6.6372
1997,0.5797675,6.1683
1998,0.6185825,5.5621
1999,0.7572855,6.4952
2000,0.7588095,7.1658
2001,0.7244085,6.2525
2002,0.6978975,6.4543
2003,0.6798234999999999,6.3652
2004,0.5474344999999999,2.8742
2005,0.3205995,1.7629
2006,0.270135,2.3405
2007,0.21422899999999998,1.4999
2008,0.07557649999999999,0.5138
2009,0.0136835,0.0288
2010,0.007861,0.1701
2011,0.0091125,0.0971
2012,0.0013785,0.0364
