site,age,rate
Dielmo,0,4.2315669722016995
Dielmo,1,6.550372277984305
Dielmo,2,7.797069481618726
Dielmo,3,7.038912996354125
Dielmo,4,6.020211406217962
Dielmo,5,5.293942307189371
Dielmo,6,3.8843437001043575
Dielmo,7,2.6736420305704947
Dielmo,8,2.0344984708429488
Dielmo,9,1.6186109606868155
Dielmo,10,1.3407813692957073
Dielmo,11,0.7834665708967302
Dielmo,12,0.538464752196254
Dielmo,13,0.39050329492072816
Dielmo,14,0.3781156740192114
Dielmo,15-25,0.15551148504200996
Ndiop,0,1.9073
Ndiop,1,2.2199
Ndiop,2,2.6139
Ndiop,3,2.8952
Ndiop,4,3.0006
Ndiop,5,3.0307
Ndiop,6,2.9039
Ndiop,7,2.7708
Ndiop,8,2.7633
Ndiop,9,2.7433
Ndiop,10,2.5098
Ndiop,11,2.2324
Ndiop,12,2.1182
Ndiop,13,1.8721
Ndiop,14,1.4944
Ndiop,15-25,0.94645
